geo,geo.name,geo.is.territory,geo.is.un_state,geo.g_region4,geo.g_west_rest,geo.lat,geo.lng
abkh,Abkhazia,TRUE,FALSE,eur,west,,
and,Andorra,TRUE,TRUE,eur,west,42.50779,1.52109
afg,Afghanistan,TRUE,TRUE,asi,rest,33,66
akr_a_dhe,Akrotiri and Dhekelia,TRUE,FALSE,eur,rest,,
atg,Antigua and Barbuda,TRUE,TRUE,ame,rest,17.05,-61.8
alb,Albania,TRUE,TRUE,eur,rest,41,20
aia,Anguilla,TRUE,FALSE,ame,rest,18.21667,-63.05
dza,Algeria,TRUE,TRUE,afr,rest,28,3
asm,American Samoa,TRUE,FALSE,asi,rest,-11.056,-171.082
arm,Armenia,TRUE,TRUE,eur,rest,40.25,45
ago,Angola,TRUE,TRUE,afr,rest,-12.5,18.5
arg,Argentina,TRUE,TRUE,ame,rest,-34,-64
aut,Austria,TRUE,TRUE,eur,west,47.33333,13.33333
aus,Australia,TRUE,TRUE,asi,west,-25,135
abw,Aruba,TRUE,FALSE,ame,rest,12.5,-69.96667
aze,Azerbaijan,TRUE,TRUE,eur,rest,40.5,47.5
bih,Bosnia and Herzegovina,TRUE,TRUE,eur,rest,44.25,17.83333
brb,Barbados,TRUE,TRUE,ame,rest,13.16667,-59.53333
bgd,Bangladesh,TRUE,TRUE,asi,rest,24,90
bhs,Bahamas,TRUE,TRUE,ame,rest,25.04082,-77.37122
bel,Belgium,TRUE,TRUE,eur,west,50.75,4.5
bhr,Bahrain,TRUE,TRUE,asi,rest,26.03333,50.55
bfa,Burkina Faso,TRUE,TRUE,afr,rest,12.5,-1.66667
bgr,Bulgaria,TRUE,TRUE,eur,rest,42.66667,25.25
blr,Belarus,TRUE,TRUE,eur,rest,53,28
ben,Benin,TRUE,TRUE,afr,rest,9.5,2.25
bmu,Bermuda,TRUE,FALSE,ame,west,32.2949,-64.78303
blz,Belize,TRUE,TRUE,ame,rest,17.49952,-88.19756
brn,Brunei,TRUE,TRUE,asi,rest,4.5,114.66667
bol,Bolivia,TRUE,TRUE,ame,rest,-17,-65
btn,Bhutan,TRUE,TRUE,asi,rest,27.5,90.5
bra,Brazil,TRUE,TRUE,ame,rest,-10,-55
bwa,Botswana,TRUE,TRUE,afr,rest,-22,24
vgb,British Virgin Islands,TRUE,FALSE,ame,rest,18.5,-64.5
bdi,Burundi,TRUE,TRUE,afr,rest,-3.5,30
khm,Cambodia,TRUE,TRUE,asi,rest,13,105
cmr,Cameroon,TRUE,TRUE,afr,rest,6,12.5
can,Canada,TRUE,TRUE,ame,west,60.10867,-113.64258
cpv,Cape Verde,TRUE,TRUE,afr,rest,16,-24
cym,Cayman Islands,TRUE,FALSE,ame,rest,19.5,-80.66667
caf,Central African Republic,TRUE,TRUE,afr,rest,7,21
