geo,geo.name,year,geo.year.gdp
asi,Asia,1800,6.23044E+11
asi,Asia,1810,6.56988E+11
asi,Asia,1820,6.93693E+11
asi,Asia,1830,7.28994E+11
asi,Asia,1840,7.54209E+11
asi,Asia,1850,7.64634E+11
asi,Asia,1860,7.81858E+11
asi,Asia,1870,8.22079E+11
asi,Asia,1880,8.4517E+11
asi,Asia,1890,8.9441E+11
asi,Asia,1900,9.78761E+11
asi,Asia,1910,1.1811E+12
asi,Asia,1920,1.2867E+12
asi,Asia,1930,1.50398E+12
asi,Asia,1940,1.68021E+12
asi,Asia,1950,1.55236E+12
asi,Asia,1951,1.63243E+12
asi,Asia,1952,1.7327E+12
asi,Asia,1953,1.86535E+12
asi,Asia,1954,1.94968E+12
asi,Asia,1955,2.02911E+12
asi,Asia,1956,2.14465E+12
asi,Asia,1957,2.24448E+12
asi,Asia,1958,2.40475E+12
asi,Asia,1959,2.55867E+12
asi,Asia,1960,2.67345E+12
asi,Asia,1961,2.60453E+12
asi,Asia,1962,2.73907E+12
asi,Asia,1963,2.93219E+12
asi,Asia,1964,3.20993E+12
asi,Asia,1965,3.38553E+12
asi,Asia,1966,3.62078E+12
asi,Asia,1967,3.77906E+12
asi,Asia,1968,4.06317E+12
asi,Asia,1969,4.47862E+12
asi,Asia,1970,5.20895E+12
asi,Asia,1971,5.52651E+12
asi,Asia,1972,5.86395E+12
asi,Asia,1973,6.37138E+12
asi,Asia,1974,6.85574E+12
asi,Asia,1975,6.99627E+12
asi,Asia,1976,7.49051E+12
asi,Asia,1977,7.81707E+12
asi,Asia,1978,8.18139E+12
asi,Asia,1979,8.55129E+12
asi,Asia,1980,8.86997E+12
asi,Asia,1981,9.1455E+12
asi,Asia,1982,9.35253E+12
asi,Asia,1983,9.73625E+12
asi,Asia,1984,1.03264E+13
asi,Asia,1985,1.0712E+13
asi,Asia,1986,1.10636E+13
asi,Asia,1987,1.16088E+13
asi,Asia,1988,1.21495E+13
asi,Asia,1989,1.26263E+13
asi,Asia,1990,1.3405E+13
asi,Asia,1991,1.39087E+13
asi,Asia,1992,1.47037E+13
asi,Asia,1993,1.54333E+13
asi,Asia,1994,1.62635E+13
asi,Asia,1995,1.72128E+13
asi,Asia,1996,1.82484E+13
asi,Asia,1997,1.91059E+13
asi,Asia,1998,1.93582E+13
asi,Asia,1999,2.02165E+13
asi,Asia,2000,2.12869E+13
asi,Asia,2001,2.20395E+13
asi,Asia,2002,2.3032E+13
asi,Asia,2003,2.432E+13
asi,Asia,2004,2.60489E+13
asi,Asia,2005,2.78032E+13
asi,Asia,2006,2.98953E+13
asi,Asia,2007,3.234E+13
asi,Asia,2008,3.38986E+13
asi,Asia,2009,3.52821E+13
asi,Asia,2010,3.80956E+13
asi,Asia,2011,4.04179E+13
asi,Asia,2012,4.2549E+13
asi,Asia,2013,4.48546E+13
asi,Asia,2014,4.62597E+13
asi,Asia,2015,4.86342E+13
eur,Europe,1800,3.53395E+11
eur,Europe,1810,3.78337E+11
eur,Europe,1820,4.07867E+11
eur,Europe,1830,4.58636E+11
eur,Europe,1840,5.42064E+11
eur,Europe,1850,6.05687E+11
eur,Europe,1860,7.42277E+11
eur,Europe,1870,8.75667E+11
eur,Europe,1880,1.03888E+12
eur,Europe,1890,1.24596E+12
eur,Europe,1900,1.61E+12
eur,Europe,1910,1.95589E+12
eur,Europe,1920,1.80127E+12
eur,Europe,1930,2.68543E+12
eur,Europe,1940,3.36045E+12
eur,Europe,1950,3.90535E+12
eur,Europe,1951,4.0833E+12
eur,Europe,1952,4.25487E+12
eur,Europe,1953,4.47381E+12
eur,Europe,1954,4.70088E+12
eur,Europe,1955,5.03064E+12
eur,Europe,1956,5.3139E+12
eur,Europe,1957,5.55092E+12
eur,Europe,1958,5.78537E+12
eur,Europe,1959,5.96475E+12
eur,Europe,1960,6.38508E+12
eur,Europe,1961,6.72025E+12
eur,Europe,1962,6.97328E+12
eur,Europe,1963,7.17852E+12
eur,Europe,1964,7.7268E+12
eur,Europe,1965,8.07974E+12
eur,Europe,1966,8.45218E+12
eur,Europe,1967,8.7694E+12
eur,Europe,1968,9.22582E+12
eur,Europe,1969,9.63587E+12
eur,Europe,1970,1.0152E+13
eur,Europe,1971,1.05142E+13
eur,Europe,1972,1.08946E+13
eur,Europe,1973,1.15881E+13
eur,Europe,1974,1.1953E+13
eur,Europe,1975,1.20103E+13
eur,Europe,1976,1.25667E+13
eur,Europe,1977,1.29069E+13
eur,Europe,1978,1.32796E+13
eur,Europe,1979,1.36082E+13
eur,Europe,1980,1.3757E+13
eur,Europe,1981,1.38499E+13
eur,Europe,1982,1.4042E+13
eur,Europe,1983,1.43767E+13
eur,Europe,1984,1.47656E+13
eur,Europe,1985,1.50875E+13
eur,Europe,1986,1.55675E+13
eur,Europe,1987,1.59556E+13
eur,Europe,1988,1.65181E+13
eur,Europe,1989,1.69294E+13
eur,Europe,1990,1.68858E+13
eur,Europe,1991,1.67197E+13
eur,Europe,1992,1.62851E+13
eur,Europe,1993,1.59929E+13
eur,Europe,1994,1.59605E+13
eur,Europe,1995,1.62656E+13
eur,Europe,1996,1.65262E+13
eur,Europe,1997,1.69803E+13
eur,Europe,1998,1.73233E+13
eur,Europe,1999,1.77972E+13
eur,Europe,2000,1.86246E+13
eur,Europe,2001,1.90514E+13
eur,Europe,2002,1.94372E+13
eur,Europe,2003,1.99224E+13
eur,Europe,2004,2.06656E+13
eur,Europe,2005,2.13099E+13
eur,Europe,2006,2.22788E+13
eur,Europe,2007,2.32226E+13
eur,Europe,2008,2.35629E+13
eur,Europe,2009,2.2402E+13
eur,Europe,2010,2.3035E+13
eur,Europe,2011,2.36169E+13
