geo,geo.legacy_id,geo.name,geo__territory,geo__un_state,geo.g_region,geo.g_west_rest
afg,afg,Afghanistan,true,true,asi,rest
alb,alb,Albania,true,true,eur,rest
dza,dza,Algeria,true,true,afr,rest
asm,asm,American Samoa,true,,asi,rest
and,and,Andorra,true,true,eur,west
ago,ago,Angola,true,true,afr,rest
aia,aia,Anguilla,true,,ame,rest
atg,atg,Antigua and Barbuda,true,true,ame,rest
arg,arg,Argentina,true,true,ame,rest
arm,arm,Armenia,true,true,eur,rest
abw,abw,Aruba,true,,ame,rest
aus,aus,Australia,true,true,asi,west
aut,aut,Austria,true,true,eur,west
aze,aze,Azerbaijan,true,true,eur,rest
bhs,bhs,Bahamas,true,true,ame,rest
bhr,bhr,Bahrain,true,true,asi,rest
bgd,bgd,Bangladesh,true,true,asi,rest
brb,brb,Barbados,true,true,ame,rest
blr,blr,Belarus,true,true,eur,rest
bel,bel,Belgium,true,true,eur,west
blz,blz,Belize,true,true,ame,rest
ben,ben,Benin,true,true,afr,rest
bmu,bmu,Bermuda,true,,ame,west
btn,btn,Bhutan,true,true,asi,rest
bol,bol,Bolivia,true,true,ame,rest
bih,bih,Bosnia and Herzegovina,true,true,eur,rest
bwa,bwa,Botswana,true,true,afr,rest
bra,bra,Brazil,true,true,ame,rest
vgb,vgb,British Virgin Islands,true,,ame,rest
brn,brn,Brunei,true,true,asi,rest
bgr,bgr,Bulgaria,true,true,eur,rest
bfa,bfa,Burkina Faso,true,true,afr,rest
bdi,bdi,Burundi,true,true,afr,rest
khm,khm,Cambodia,true,true,asi,rest
cmr,cmr,Cameroon,true,true,afr,rest
can,can,Canada,true,true,ame,west
cpv,cpv,Cape Verde,true,true,afr,rest
cym,cym,Cayman Islands,true,,ame,rest
caf,caf,Central African Republic,true,true,afr,rest
tcd,tcd,Chad,true,true,afr,rest
0cis,_cis,Channel Islands,true,,eur,rest
chl,chl,Chile,true,true,ame,rest
chn,chn,China,true,true,asi,rest
col,col,Colombia,true,true,ame,rest
com,com,Comoros,true,true,afr,rest
cod,cod,"Congo, Dem. Rep.",true,true,afr,rest
cog,cog,"Congo, Rep.",true,true,afr,rest
cok,cok,Cook Is,true,,asi,rest
cri,cri,Costa Rica,true,true,ame,rest
civ,civ,Cote d'Ivoire,true,true,afr,rest
hrv,hrv,Croatia,true,true,eur,rest
cub,cub,Cuba,true,true,ame,rest
cyp,cyp,Cyprus,true,true,eur,rest
cze,cze,Czech Republic,true,true,eur,rest
dnk,dnk,Denmark,true,true,eur,west
dji,dji,Djibouti,true,true,afr,rest
dma,dma,Dominica,true,true,ame,rest
dom,dom,Dominican Republic,true,true,ame,rest
ecu,ecu,Ecuador,true,true,ame,rest
egy,egy,Egypt,true,true,afr,rest
slv,slv,El Salvador,true,true,ame,rest
gnq,gnq,Equatorial Guinea,true,true,afr,rest
eri,eri,Eritrea,true,true,afr,rest
est,est,Estonia,true,true,eur,rest
eth,eth,Ethiopia,true,true,afr,rest
fro,fro,Faeroe Islands,true,,eur,rest
flk,flk,Falkland Is (Malvinas),true,,ame,rest
fji,fji,Fiji,true,true,asi,rest
fin,fin,Finland,true,true,eur,west
fra,fra,France,true,true,eur,west
guf,guf,French Guiana,true,,ame,rest
pyf,pyf,French Polynesia,true,,asi,rest
gab,gab,Gabon,true,true,afr,rest
gmb,gmb,Gambia,true,true,afr,rest
geo,geo,Georgia,true,true,eur,rest
deu,deu,Germany,true,true,eur,west
gha,gha,Ghana,true,true,afr,rest
gib,gib,Gibraltar,true,,eur,rest
grc,grc,Greece,true,true,eur,west
grl,grl,Greenland,true,,eur,west
grd,grd,Grenada,true,true,ame,rest
glp,glp,Guadeloupe,true,,ame,rest
gum,gum,Guam,true,,asi,rest
gtm,gtm,Guatemala,true,true,ame,rest
gbg,gbg,Guernsey,true,,eur,rest
gin,gin,Guinea,true,true,afr,rest
gnb,gnb,Guinea-Bissau,true,true,afr,rest
guy,guy,Guyana,true,true,ame,rest
hti,hti,Haiti,true,true,ame,rest
hos,hos,Holy See,true,true,eur,west
hnd,hnd,Honduras,true,true,ame,rest
hkg,hkg,"Hong Kong, China",true,,asi,rest
hun,hun,Hungary,true,true,eur,rest
isl,isl,Iceland,true,true,eur,west
ind,ind,India,true,true,asi,rest
idn,idn,Indonesia,true,true,asi,rest
irn,irn,Iran,true,true,asi,rest
irq,irq,Iraq,true,true,asi,rest
irl,irl,Ireland,true,true,eur,west
gbm,gbm,Isle of Man,true,,eur,rest
isr,isr,Israel,true,true,asi,rest
ita,ita,Italy,true,true,eur,west
jam,jam,Jamaica,true,true,ame,rest
jpn,jpn,Japan,true,true,asi,rest
jey,jey,Jersey,true,,eur,west
jor,jor,Jordan,true,true,asi,rest
kaz,kaz,Kazakhstan,true,true,asi,rest
ken,ken,Kenya,true,true,afr,rest
kir,kir,Kiribati,true,true,asi,rest
prk,prk,North Korea,true,true,asi,rest
kor,kor,South Korea,true,true,asi,rest
0unk,_unk,Kosovo,true,,eur,rest
kwt,kwt,Kuwait,true,true,asi,rest
kgz,kgz,Kyrgyz Republic,true,,asi,rest
lao,lao,Lao,true,true,asi,rest
lva,lva,Latvia,true,true,eur,rest
lbn,lbn,Lebanon,true,true,asi,rest
lso,lso,Lesotho,true,true,afr,rest
lbr,lbr,Liberia,true,true,afr,rest
lby,lby,Libya,true,true,afr,rest
lie,lie,Liechtenstein,true,true,eur,west
ltu,ltu,Lithuania,true,true,eur,rest
lux,lux,Luxembourg,true,true,eur,west
mac,mac,"Macao, China",true,,asi,rest
mkd,mkd,"Macedonia, FYR",true,true,eur,rest
